"","X","Name","Danceability","Energy","Key","Loudness","Mode","Speechness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Uri","Duration_ms","time_signature","Genre","Overall_Genre"
"1830",84603,"We Die Too",0.733,0.635,8,-9.302,1,0.0765,0.0171,8.37e-05,0.208,0.581,80.002,"spotify:track:4Y8UPDfErs3n4ox554BRe3",154,4,"rapmetal","Rap"
"1831",84604,"Paris",0.849,0.648,7,-6.188,1,0.0832,0.0725,0.00592,0.0984,0.196,106.075,"spotify:track:4irYeuAi87yyGHcI4h9s0x",111,4,"rapmetal","Rap"
"1832",84605,"Venom",0.909,0.573,5,-6.856,1,0.181,0.0332,0.0163,0.657,0.392,144.946,"spotify:track:7tUXZgLbOCvRJ9FBlairoU",134,4,"rapmetal","Rap"
"1833",84606,"Squeeze",0.787,0.727,1,-7.194,1,0.265,0.000997,0.0017,0.376,0.21,141.52,"spotify:track:0wxwXyrJYHyGUKlBaCIhgp",140,4,"rapmetal","Rap"
"1834",84607,"Middleofthe Mall",0.8,0.696,6,-5.354,0,0.393,0.0818,0,0.121,0.628,159.953,"spotify:track:71DReAbBp5AfCwCqakfqmQ",137,4,"rapmetal","Rap"
"1835",84608,"Bonesaw",0.694,0.625,4,-9.07,1,0.482,0.0555,0.0029,0.547,0.454,139.698,"spotify:track:6I90hMc9paVMjNPxMOXoot",112,4,"rapmetal","Rap"
"1836",84609,"John Dee",0.936,0.474,1,-9.694,1,0.393,0.0213,0,0.111,0.168,129.999,"spotify:track:7BLFY8GsDyUkaARTv0uwKH",166,4,"rapmetal","Rap"
"1837",84610,"Hades",0.829,0.59,9,-7.818,0,0.263,0.0391,0.0107,0.114,0.332,112.97,"spotify:track:0KRKqIJPX6LT9v1ZQGbfn7",127,4,"rapmetal","Rap"
"1838",84611,"Product Of Drugs(Prod.The Virusand Antidote)",0.476,0.781,0,-4.71,1,0.103,0.0237,0,0.114,0.175,93.474,"spotify:track:0VSXnJqQkwuH2ei1nOQ1nu",123,3,"rapmetal","Rap"
"1839",84612,"2nd Hand",0.931,0.422,7,-6.838,1,0.168,0.0263,0,0.102,0.102,139.974,"spotify:track:4yORBk6ZyYsJpnJchyZevc",123,4,"rapmetal","Rap"
"1840",84613,"Mount Sinai",0.84,0.444,3,-10.58,0,0.211,0.532,0.000884,0.0623,0.376,131.999,"spotify:track:4owRIrDAJPqNWGf2SGC3H8",145,4,"rapmetal","Rap"
"1841",84614,"F UC KT HE PO PU LA TI ON",0.818,0.576,0,-7.588,0,0.162,0.29,0,0.105,0.285,96.189,"spotify:track:6yK9kwo8cBoVRNOylq0yNc",150,3,"rapmetal","Rap"
